ID,Age,Gender
00017888,8,F
00003111,22,F
00057347,19,F
00041831,57,F
00031383,10,M
00076275,53,M
00003480,17,F
00092469,32,M
00049441,67,F
00089662,25,M
00086203,32,M
00082698,22,F
00063339,33,F
00024375,12,M
00015295,34,M
00040665,6,F
00014111,27,M
00036912,13,M
00021747,21,F
00058233,29,M
00064136,18,M
00025203,9,M
00036446,8,F
00009999,36,M
00014808,7,F
00037458,42,M
00081418,29,M
00090014,22,M
00067621,19,M
00074991,33,F
00039970,22,M
00027871,7,M
00052419,29,F
00038463,26,F
00017168,44,F
00026025,20,F
00080936,15,F
00036154,21,F
00062991,44,M
00089295,20,M
00066637,47,F
00020122,48,M
00076852,20,F
00040798,36,F
00050961,25,M
00063747,37,M
00093116,21,F
00021695,45,F
00008561,7,F
00090304,14,M
00026792,15,F
00045447,9,M
00087253,25,M
00077266,15,F
00093651,14,M
00048231,35,M
00023576,9,M
00039037,24,M
00059679,19,M
00014321,57,M
00071188,44,F
00077262,14,F
00065452,40,M
00019353,29,F
00000065,24,M
00069788,12,F
00028323,32,M
00022828,29,F
00068179,21,M
00048813,41,F
00044218,11,M
00051405,22,M
00031694,60,F
00075926,47,M
00077750,29,M
00061045,25,M
00090913,34,F
00032876,20,F
00073755,47,M
00068758,11,M
00018306,7,F
00001651,40,F
00024296,9,F
00084733,34,M
00085188,10,M
00022439,27,F
00056598,21,F
00092796,29,M
00082896,43,F
00046977,26,M
00068929,5,M
00033207,13,F
00044548,20,M
00061672,20,F
00034877,7,M
00086347,14,M
00040934,34,F
00054365,16,M
00041541,10,F
00092157,27,M
00077931,27,F
00026231,30,M
00001783,42,F
00065640,24,M
00006894,43,F
00002213,22,M
00089281,20,F
00061966,22,M
00052852,27,M
00084099,31,F
00014610,39,F
00020556,29,F
00081021,26,F
00032679,37,F
00035323,59,F
00029292,37,F
00075810,31,F
00054792,3,M
00037531,11,M
00081410,37,M
00016619,41,F
00043060,17,F
00043875,23,M
00032147,10,F
00002931,16,M
00043685,24,M
00058542,68,M
00030769,6,F
00033183,14,F
00065243,43,F
00088457,29,F
00019565,39,M
00057384,44,F
00038502,17,M
00036156,9,M
00057305,29,M
00073717,4,M
00053346,20,M
00006365,46,M
00040248,36,M
00033368,67,M
00047417,45,M
00024892,24,F
00030112,45,M
00085235,37,F
00072702,32,F
00043343,22,F
00084309,42,F
00061420,32,M
00015402,10,M
00002788,41,M
00026686,43,F
00055126,9,F
00056048,22,M
00048945,48,F
00079654,46,M
00065047,40,F
00045318,17,F
00089292,15,F
00049475,48,M
00047405,9,F
00079595,9,M
00050356,23,F
00027406,20,F
00021796,43,M
00020547,19,F
00041173,12,F
00019721,43,F
00057198,12,M
00049023,12,F
00029460,43,M
00009310,15,F
00079179,38,F
00068486,16,F
00089582,24,M
00020911,31,F
00028129,37,F
00032585,45,F
00087020,14,F
00033242,43,M
00067877,10,M
00020508,25,F
00015498,44,F
00036281,16,M
00028163,6,M
00091980,14,F
00038818,70,F
00089139,11,F
00067344,12,M
00041725,14,M
00062017,23,F
00009523,11,M
00057578,31,M
00026679,7,M
00026190,7,F
00046386,26,F
00072126,46,M
00026577,26,M
00065722,49,M
00032505,81,F
00018710,40,M
00070354,43,M
00008733,9,F
00077026,16,F
00009245,15,M
00068653,11,F
00031770,15,M
00050732,12,M
00015454,32,M
00092357,29,F
00072447,21,F
00028719,29,F
00044185,17,M
00001370,9,M
00038759,45,M
00001589,52,F
00075778,25,F
00091497,41,F
00040435,10,F
00079897,68,F
00087271,46,F
00054502,21,M
00069235,45,M
00081535,39,F
00084244,21,F
00021407,35,M
00033878,45,F
00081369,17,M
00040960,40,M
00080447,35,M
00032995,13,F
00000115,32,F
00046609,12,F
00020515,4,M
00077458,12,M
00082566,10,M
00079203,48,F
00082263,12,M
00057764,5,M
00022783,39,F
00074106,65,F
00036228,29,M
00075465,42,M
00003381,11,M
00031641,23,F
00043118,17,F
00090059,3,M
00007179,45,F
00094362,39,F
00066144,23,F
00079365,25,M
00051005,36,M
00067156,27,M
00050601,12,M
00056653,11,F
00040610,20,M
00015071,46,F
00009966,11,M
00030809,36,M
00009427,13,F
00059637,29,M
00026848,33,F
00058093,69,F
00091193,33,M
00052357,25,M
00087193,9,M
00076341,47,F
00018855,20,F
00029481,11,M
00008945,33,M
00044636,32,M
00062935,16,F
00052291,25,M
00033736,9,F
00091817,25,F
00072744,63,M
00017506,40,M
00019681,9,F
00049706,4,F
00039994,11,M
00074109,36,M
00044354,27,F
00075148,23,F
00057360,34,M
00004039,42,M
00064815,24,F
00037137,22,M
00018205,41,M
00046210,27,F
00019280,42,M
00056989,21,M
00027135,12,M
00092512,19,M
00059063,52,M
00019453,23,F
00051689,36,M
00081814,41,M
00072206,44,M
00072197,24,M
00009444,25,M
00070778,12,M
00083652,27,M
00034943,22,F
00041260,29,F
00056827,43,M
00081622,32,F
00066149,32,F
00022212,13,F
00033780,33,F
00062165,36,M
00088873,18,M
00052347,51,M
00069341,26,F
00082825,51,M
00043416,16,F
00022319,18,F
00083148,36,F
00056587,14,M
00079192,44,F
00048242,27,M
00034416,9,F
00018133,14,F
00047218,13,M
00066582,19,F
00073927,37,M
00006206,29,M
00046382,40,F
00084291,43,F
00021433,20,M
00085463,77,F
00076691,15,M
00006629,6,F
00035924,36,F
00020659,60,F
00014554,47,M
00088822,33,F
00093397,73,F
00063836,19,F
00049111,10,M
00047952,9,M
00030258,16,M
00084580,46,M
00050230,4,F
00069859,65,F
00018726,45,F
00067777,33,F
00045518,11,F
00025371,27,F
00086078,29,M
00034042,41,F
00036054,47,M
00024258,42,F
00050278,12,F
00078558,33,M
00089245,56,F
00004605,41,F
00071797,55,F
00009702,13,M
00061973,29,F
00062434,6,F
00026888,16,M
00022173,13,F
00029042,40,F
00067389,11,F
00087303,43,F
00019832,15,M
00065340,7,F
00050858,4,F
00055749,13,F
00021283,24,F
00046546,8,F
00066917,35,M
00065022,7,F
00082156,25,M
00072789,4,M
00092299,19,F
00088408,48,M
00067806,23,M
00064841,23,F
00071815,22,M
00014441,10,M
00076487,22,M
00049870,47,F
00093275,24,F
00000415,13,M
00067424,23,F
00033626,49,M
00082227,28,M
00093820,8,M
00055507,33,M
00072362,26,F
00082432,4,F
00047160,12,M
00056002,42,M
00054836,16,F
00048034,29,F
00038479,17,F
00025797,21,F
00028224,13,M
00004080,23,M
00071055,9,M
00061988,29,M
00038580,12,F
00059236,39,F
00025291,43,F
00031466,25,M
00008157,19,F
00093924,15,M
00079670,45,F
00053053,44,F
00033272,12,F
00042309,45,F
00018023,44,M
00041889,17,F
00066845,22,M
00070983,13,M
00088667,32,M
00060920,20,F
00048783,46,F
00076531,9,M
00001775,40,F
00068785,13,M
00041172,11,F
00014063,14,F
00019415,6,F
00081810,17,M
00025823,12,F
00032316,13,M
00067262,10,F
00067121,13,M
00018740,22,F
00009566,17,M
00044604,14,F
00086521,26,F
00072478,36,F
00030526,17,F
00058782,5,M
00076291,31,F
00015927,16,F
00023429,9,M
00049989,7,F
00071540,33,F
00070903,9,M
00084046,31,M
00069400,75,M
00054409,11,M
00068164,49,M
00009890,42,F
00001599,9,F
00045393,38,M
00045004,48,F
00048542,5,F
00008693,28,F
00083024,19,M
00094610,20,F
00040520,32,M
00052700,31,F
00075908,28,M
00014962,16,F
00045871,20,M
00084917,26,F
00026646,11,F
00014985,14,F
00071863,10,M
00084692,25,M
00093628,14,F
00092900,44,M
00032500,58,M
00001437,24,F
00060878,26,M
00001884,45,F
00047881,11,F
00091507,44,F
00050295,50,M
00048240,8,F
00075050,54,M
00009986,5,M
00069580,6,F
00032326,41,F
00067933,42,M
00073445,14,F
00035921,5,M
00050200,35,M
00018770,20,F
00082610,25,F
00022093,22,F
00066688,60,M
00009435,32,F
00032545,24,F
00061432,27,F
00041811,12,F
00057611,29,M
00041062,52,F
00065758,41,F
00020952,19,F
00058586,4,F
00058035,11,F
00038576,12,F
00079601,5,F
00046186,27,M
00020814,17,F
00062325,13,M
00021234,36,F
00047880,48,M
00016649,22,M
00024012,11,M
00089125,7,F
00058806,38,F
00040943,25,F
00064346,59,F
00061986,26,M
00071036,12,F
00093647,15,M
00041404,13,F
00005036,20,F
00068324,18,F
00064002,11,F
00085783,14,F
00036415,10,M
00063808,42,F
00058667,62,F
00003378,44,F
00058187,18,M
00026681,31,M
00081743,51,F
00063118,50,M
00091264,36,M
00062286,38,M
00083977,21,F
00035202,22,F
00024737,40,F
00079778,7,F
00038988,37,F
00030126,21,F
00016482,21,M
00017994,43,F
00088988,25,F
00020681,7,M
00034073,6,M
00019343,24,M
00073043,14,F
00054804,20,M
00090772,41,F
00049449,20,M
00034737,63,M
00043489,40,M
00090480,44,F
00089542,14,F
00027053,71,M
00064206,20,M
00054463,14,F
00089025,26,M
00035067,10,F
00073112,28,M
00014505,9,F
00088598,29,M
00066832,24,M
00041482,13,F
00019316,30,M
00068031,21,F
00016504,10,F
00034276,13,M
00039648,8,F
00083458,32,F
00055292,8,F
00060158,51,F
00022687,47,M
00027531,12,F
00089124,10,M
00088079,14,F
00039831,9,M
00034903,10,M
00061083,12,F
00088190,12,F
00032774,9,M
00024970,65,M
00007361,27,F
00058728,23,M
00069055,32,F
00048803,11,F
00061147,31,F
00057204,19,M
00002109,11,F
00035243,25,M
00069686,25,F
00008482,44,M
00079128,12,M
00006555,46,M
00032880,53,F
00052462,6,M
00009030,14,F
00006489,18,F
00044629,12,M
00083656,19,F
00003337,19,F
00073752,34,M
00054520,38,M
00051196,23,F
00092667,9,M
00075355,14,F
00052545,42,F
00062977,34,F
00065397,18,F
00029717,51,M
00021820,22,M
00067490,48,F
00050825,26,M
00076636,26,F
00009553,41,M
00058492,21,F
00061377,23,M
00041833,64,F
00076497,19,M
00058576,16,F
00030099,15,M
00004196,40,M
00059902,30,M
00031331,31,M
00020344,23,F
00054027,46,M
00043272,14,F
00075294,22,F
00001725,40,F
00054500,20,M
00086775,46,M
00007699,11,F
00025125,69,M
00091284,33,M
00081413,29,M
00071448,22,F
00084656,30,M
00027094,38,M
00078631,39,F
00058137,22,M
00061459,13,F
00022340,20,F
00064734,33,M
00008340,12,F
00071607,39,F
00093149,9,F
00069190,6,M
00065411,36,F
00023935,7,M
00006125,19,F
00017670,21,F
00092746,44,M
00032208,6,F
00003621,26,M
00034121,29,F
00049720,9,F
00047109,31,F
00048091,10,M
00038326,8,F
00068430,38,F
00048064,50,F
00022129,29,F
00089243,6,F
00060805,24,M
00019510,9,M
00076576,23,M
00090807,8,M
00005023,11,F
00034857,44,M
00086170,22,F
00007060,7,F
00021246,10,F
00064026,25,F
00084890,25,M
00006990,22,F
00081970,34,F
00091626,42,M
00041357,19,M
00036094,7,F
00034907,37,F
00045013,6,M
00038532,22,M
00044566,21,F
00054455,13,F
00080792,20,F
00028390,26,F
00077503,5,M
00059051,26,F
00021352,27,F
00042331,41,F
00036525,26,F
00088152,39,M
00040774,43,M
00044662,8,M
00034593,29,F
00048232,7,M
00031425,28,M
00008663,12,M
00023330,8,F
00003418,4,M
00065975,44,M
00058493,26,M
00008328,41,F
00015336,9,F
00000365,37,F
00062962,28,M
00041335,14,M
00064192,21,F
00067226,10,F
00002202,4,M
00022057,40,M
00020078,33,F
00057063,38,F
00036484,35,M
00073068,27,M
00078512,28,M
00093499,19,F
00093770,34,F
00046824,33,M
00088994,28,M
00020390,26,M
00022623,45,M
00087577,15,M
00039379,5,M
00088521,29,M
00041576,12,F
00013975,47,F
00024211,25,M
00056852,43,M
00079038,4,M
00050511,39,M
00080427,33,F
00004167,29,M
00076780,15,F
00056165,8,M
00034389,44,M
00050478,18,M
00047856,32,M
00051359,7,M
00035128,39,M
00008935,39,M
00028869,24,M
00050182,38,M
00022911,32,M
00075440,35,F
00081481,60,F
00080532,23,M
00021528,46,M
00021828,48,F
00004998,41,F
00044142,16,M
00059842,12,F
00081764,14,F
00029596,67,F
00070878,51,M
00022181,13,F
00044001,27,M
00058516,45,M
00022662,9,F
00043265,11,F
00018438,5,F
00073642,46,M
00043596,43,F
00084600,34,M
00074561,8,F
00035995,6,F
00077737,44,M
00057350,66,M
00072307,34,F
00003329,11,M
00019616,23,M
00015223,4,M
00021825,32,M
00035806,30,F
00048889,32,M
00080644,35,M
00079913,43,M
00044114,16,F
00031086,6,M
00050625,12,F
00057782,17,M
00038608,11,M
00052711,28,F
00049143,8,M
00064426,14,F
00071615,33,M
00037171,10,F
00076849,21,M
00042829,34,F
00080819,45,M
00004734,5,M
00039008,20,F
00014261,10,F
00086173,50,F
00048424,35,M
00066347,54,F
00070841,15,F
00030936,7,M
00069238,14,M
00051313,8,F
00043393,44,F
00015599,53,F
00091578,47,M
00029882,31,F
00092314,24,F
00018756,59,M
00069286,12,F
00032953,20,F
00030779,27,F
00056748,14,F
00048225,15,M
00080225,35,F
00088294,9,F
00084801,7,F
00095081,26,M
00092033,10,F
00015524,6,M
00047179,45,F
00039837,11,M
00073108,13,M
00048600,8,M
00039292,60,F
00068590,45,F
00090741,41,M
00085758,14,M
00001131,30,F
00063009,21,M
00068038,38,F
00023481,23,M
00057541,23,F
00088597,5,F
00076421,30,F
00067748,39,F
00024149,10,F
00004162,21,F
00041618,12,F
00084279,21,F
00087896,11,F
00062328,13,F
00094456,54,F
00032472,20,F
00071062,23,F
00030917,23,F
00052520,30,M
00020101,20,M
00034433,19,F
00004664,38,F
00047371,71,F
00055854,50,M
00061843,27,F
00029662,9,M
00065361,86,F
00019194,52,M
00039396,7,F
00079581,8,M
00016277,11,M
00083884,54,F
00046375,19,F
00041775,28,M
00007382,23,M
00083362,24,F
00047443,27,F
00090698,26,M
00026053,29,M
00052038,22,F
00067002,44,M
00025242,27,F
00007334,44,M
00035254,16,F
00059565,24,M
00005811,18,F
00024985,39,M
00049188,39,M
00093017,40,F
00066052,8,F
00052037,49,F
00003736,21,F
00066578,27,M
00009869,18,M
00018482,38,M
00015807,12,M
00008147,16,M
00030347,69,M
00004338,11,F
00022174,14,F
00006714,40,M
00016509,42,M
00009143,14,F
00049383,6,M
00055499,41,F
00008637,56,F
00007294,17,M
00023179,24,M
00016929,4,F
00090948,21,M
00039196,47,M
00073133,21,M
00060967,34,M
00009949,50,F
00035519,20,F
00029065,18,F
00003663,47,M
00061726,12,M
00069543,8,M
00085469,14,M
00083423,42,F
00059328,42,M
00053233,12,M
00077046,15,M
00005017,35,F
00072416,43,M
00090114,50,F
00088793,43,F
00045914,18,F
00054860,13,M
00032861,44,F
00025012,9,M
00030760,27,M
00066187,36,F
00019455,24,M
00054367,25,M
00040255,18,F
00034744,39,F
00063723,49,F
00005693,12,M
00068429,8,M
00026035,45,F
00041347,59,F
00092715,11,F
00005808,5,F
00072403,7,F
00069185,33,F
00060936,25,M
00093102,8,M
00050848,22,F
00076048,11,F
00072064,5,F
00067134,30,F
00039264,9,F
00015110,51,F
00037283,7,M
00045065,26,F
00072374,11,F
00069198,9,F
00008679,11,F
00033213,14,F
00062542,39,F
00047684,13,F
00042513,34,F
00076817,44,M
00091589,16,F
00025952,41,F
00094217,22,F
00005314,7,F
00047433,41,M
00028830,35,M
00029906,37,F
00015698,22,F
00042658,26,F
00047254,27,M
00077056,16,F
00084909,16,F
00036212,23,M
00031759,47,M
00078348,48,M
00049903,41,F
00078766,9,M
00079824,28,M
00049263,29,F
00016776,10,M
00071546,12,M
00018018,8,M
00060085,34,M
00078621,16,F
00027856,40,M
00046595,20,M
00016964,21,M
00088792,36,F
00042037,49,F
00084764,44,F
00042802,32,M
00000269,8,M
00080153,43,F
00070709,8,M
00088261,14,F
00045631,25,M
00068415,40,M
00042145,3,F
00074069,27,M
00048796,76,M
00078647,26,M
00095020,33,M
00084281,25,F
00092172,34,F
00061213,13,M
00092760,6,M
00022287,26,M
00083110,26,F
00020125,40,M
00073179,14,F
00014213,26,M
00047132,39,F
00020023,20,M
00022884,7,F
00003862,40,M
00030671,12,F
00084800,21,F
00022246,13,F
00015019,15,F
00036941,24,M
00025473,23,F
00073373,20,M
00050178,44,M
00007062,37,F
00069712,50,F
00039635,3,M
00001863,16,F
00050510,42,F
00080034,12,M
00037183,28,M
00052644,41,M
00073630,37,M
00069651,7,M
00067253,22,F
00060990,15,F
00008980,80,F
00069221,43,F
00022001,22,F
00007248,7,F
00029560,40,F
00014525,18,M
00014512,9,F
00076084,44,F
00009161,8,F
00037374,31,M
00088250,17,M
00041593,13,M
00074124,38,M
00092056,21,M
00015679,7,F
00020963,19,M
00094144,25,M
00045810,35,F
00073435,24,F
00086671,21,M
00022688,45,M
00056438,43,F
00004935,48,F
00040689,8,M
00014110,47,F
00004108,21,F
00094926,9,F
00004313,9,F
00023701,42,M
00089584,37,M
00057866,29,F
00017224,39,F
00020031,26,M
00050249,8,M
00040220,11,M
00036433,6,F
00055510,5,F
00087471,14,M
00060935,31,F
00047092,24,F
00080560,24,F
00018220,8,F
00007673,7,M
00057219,29,F
00031565,11,M
00049095,45,M
00069310,39,F
00070275,44,M
00020915,48,M
00018129,23,M
00035082,22,M
00049739,35,F
00032700,29,M
00079178,55,M
00044203,17,F
00073824,7,F
00002677,26,M
00053950,60,M
00014292,18,F
00093104,40,M
00022412,67,F
00054583,46,F
00004308,12,M
00017402,30,M
00089763,16,M
00008882,41,M
00020612,36,F
00067040,51,M
00087662,14,M
00044018,21,F
00053155,45,M
00072902,39,M
00070620,16,F
00071194,38,F
00017273,25,F
00064534,29,F
00033653,26,M
00044869,55,M
00049968,26,F
00094109,21,M
00015303,39,F
00038009,11,F
00071992,54,F
00009646,30,M
00052916,41,F
00034486,5,M
00018321,10,F
00058623,22,F
00051828,24,F
00033899,42,M
00022946,10,F
00029409,7,F
00043307,41,M
00040251,34,M
00021334,8,F
00037495,19,F
00007506,10,M
00057211,42,F
00059446,23,F
00061511,11,F
00045985,56,M
00003305,8,F
00044594,14,F
00004388,28,M
00057393,24,F
00053790,6,M
00049372,8,F
00041569,11,M
00022957,38,F
00038380,31,F
00004966,25,F
00009901,51,F
00022053,54,F
00037295,41,M
00058528,22,M
00031932,12,F
00080480,22,M
00039677,24,F
00009101,12,F
00039215,29,F
00085542,20,F
00054381,12,F
00008142,39,M
00065121,10,F
00093847,11,M
00036205,11,F
00079503,41,F
00063957,28,M
00026304,37,M
00066062,9,F
00091257,27,M
00068809,43,F
00064169,50,M
00025367,33,M
00040222,31,M
00033188,22,M
00040586,9,M
00074178,8,M
00083540,73,F
00079438,16,M
00041015,26,F
00072025,25,F
00072392,16,F
00087265,46,F
00064197,42,M
00006664,44,F
00090377,20,M
00091753,35,F
00005438,17,M
00068313,11,F
00036273,12,F
00043029,11,F
00070205,11,M
00034063,19,M
00077130,4,M
00034212,32,M
00055231,29,F
00001584,20,F
00016948,6,F
00050823,21,M
00093464,14,F
00044578,22,F
00080582,25,M
00050277,12,F
00027268,23,M
00028411,7,F
00065028,38,M
00050979,21,F
00006420,50,F
00018849,45,F
00036183,32,F
00032163,34,M
00072874,32,F
00094531,51,F
00090927,43,F
00068090,11,M
00060902,26,F
00058490,25,F
00041411,17,M
00062440,33,F
00017017,7,F
00000715,33,M
00018758,21,F
00042416,13,F
00066970,46,F
00092338,7,F
00045212,24,M
00062585,26,M
00051251,29,F
00070828,4,M
00083922,43,F
00083595,4,M
00006713,10,F
00052030,29,M
00084737,26,F
00066447,18,F
00061012,31,M
00057461,57,F
00057571,5,F
00059672,23,F
00058340,54,F
00025080,25,F
00084415,21,F
00041729,10,F
00022477,23,M
00093403,20,F
00001941,43,M
00043090,23,F
00004012,9,F
00041510,12,M
00007978,9,F
00034284,48,M
00062801,12,F
00026808,21,M
00027354,7,M
00020891,27,F
00037479,43,F
00071523,21,F
00090217,30,M
00034000,10,F
00051493,12,F
00048291,48,F
00038700,14,M
00091714,38,F
00092649,7,M
00034376,10,F
00046387,11,M
00090101,10,M
00032315,50,M
00040336,46,M
00073664,38,M
00038262,15,M
00025762,24,F
00094635,48,M
00084677,10,M
00043438,50,F
00004627,10,M
00076019,15,F
00055490,42,F
00004419,5,M
00070685,10,F
00030959,42,M
00031957,23,M
00065056,44,F
00015162,28,F
00017382,47,M
00079820,15,F
00039678,39,F
00088403,23,M
00093880,19,M
00076086,40,M
00015680,34,M
00051491,11,M
00081171,36,M
00070584,21,F
00075320,54,F
00024911,24,F
00020460,20,M
00065796,24,M
00062985,44,M
00078720,25,M
00018372,42,F
00068855,42,M
00024647,13,M
00024542,21,M
00019705,34,F
00079479,32,M
00007948,8,M
00070806,41,F
00051015,11,F
00032853,32,F
00082266,29,F
00055808,23,F
00066611,31,F
00039728,41,F
00044107,17,F
00000798,21,M
00047028,46,M
00004134,22,F
00060037,18,M
00081975,37,M
00040005,40,M
00058920,41,F
00024494,34,F
00016701,10,M
00041072,48,F
00042656,12,M
00047826,3,M
00067804,54,F
00004763,7,F
00036106,14,M
00075679,22,F
00056895,7,M
00046199,21,F
00044689,50,M
00087620,14,M
00030855,37,M
00024659,13,M
00089153,11,F
00051056,48,F
00042971,26,M
00026903,35,F
00007799,17,M
00038060,37,M
00027272,44,F
00004975,9,M
00057566,58,F
00039247,10,M
00092287,39,F
00038581,11,F
00067440,42,M
00038298,20,M
00029114,7,F
00072587,41,F
00005624,13,M
00043014,12,F
00071176,31,F
00031259,10,M
00024392,12,M
00079099,34,M
00087397,25,F
00085957,11,M
00031733,42,M
00079767,47,F
00023025,53,F
00072609,30,F
00087177,34,F
00002979,44,M
00091811,52,F
00047850,23,M
00070289,27,F
00057013,31,M
00007069,7,F
00009168,6,M
00009336,5,M
00070812,18,F
00067814,35,F
00092977,45,M
00070036,43,F
00030341,42,F
00051448,11,F
00086892,36,F
00035828,11,M
00066797,41,M
00031544,46,F
00015670,38,F
00054919,13,M
00029962,61,M
00088978,21,F
00051323,50,F
00093982,24,F
00038911,50,F
00034756,8,M
00076502,14,F
00026526,17,F
00042298,12,M
00072476,30,M
00028647,46,M
00091983,54,M
00093158,44,F
00044153,17,F
00075340,14,M
00088119,28,F
00029824,55,F
00036179,42,F
00061226,53,F
00034077,25,F
00092131,32,M
00090599,18,F
00064267,6,M
00050206,45,M
00034069,15,M
00027957,8,M
00075037,4,M
00054916,13,F
00019461,38,F
00089870,13,M
00090598,18,F
00042565,10,M
00028564,42,M
00004236,4,M
00071059,10,M
00086002,22,F
00092603,43,F
00080038,39,F
00026216,23,M
00065788,44,F
00027433,7,M
00094855,8,F
00066580,22,M
00042126,31,F
00062178,55,M
00000841,52,F
00001168,22,F
00073965,40,M
00058232,41,M
00018166,22,F
00087027,12,F
00040128,11,F
00074829,25,F
00082677,21,F
00080088,8,F
00051234,26,F
00071730,11,F
00066891,23,M
00029967,26,F
00020811,17,M
00055620,9,F
00077549,46,F
00044655,22,F
00049910,40,M
00040837,7,F
00035098,76,F
00072800,41,F
00056121,45,M
00068731,52,M
00019835,50,M
00050637,56,F
00027766,31,M
00043699,27,F
00077142,37,M
00017817,42,F
00090572,53,F
00090802,14,M
00084629,35,M
00061465,13,F
00069029,23,F
00043482,27,M
00020424,32,F
00082663,27,M
00007496,36,M
00047428,42,F
00068586,10,M
00021291,15,M
00089026,27,F
00043469,42,M
00032324,8,M
00001773,23,M
00071792,41,M
00092772,14,M
00092881,36,F
00045636,41,M
00065485,35,M
